,,accuracy,equal_opportunity,p_percent,c_variation
RegMoo,voting soft,0.6707692307692308,0.6353256155891589,0.47193952139775575,0.9449300424674384
RegMoo,voting hard,0.6697975708502024,0.6387346513061204,0.48148065987452426,0.9471835379612723
RegMoo,knorau,0.6812955465587045,0.5630512888968219,0.4454240917326774,0.9065327151246332
RegMoo,knorae,0.6391902834008099,0.8664673041694819,0.7391599228716801,0.9616103085907048
RegEqMoo,voting soft,0.4469635627530365,1.0,1.0,0.45273730958591507
RegEqMoo,voting hard,0.4469635627530365,1.0,1.0,0.45273730958591507
RegEqMoo,knorau,0.5271255060728745,0.9274648137287578,0.8714016327967127,0.5719528175210766
RegEqMoo,knorae,0.5708502024291499,0.813172261527906,0.7278803547898307,0.8829095917016906
