,,accuracy,equal_opportunity,p_percent,c_variation
RegMoo,voting soft,0.6019047619047619,0.9535673499887208,0.8548992492464146,0.8279732342326728
RegMoo,voting hard,0.5980952380952381,0.950141596856223,0.8623177917482133,0.8354688732369808
RegMoo,knorau,0.5942857142857143,0.9533274139716588,0.8623177917482132,0.8395463166444245
RegMoo,knorae,0.540952380952381,0.8068599033816424,0.7738168951791243,1.0289377216049251
RegEqMoo,voting soft,0.5714285714285714,1.0,1.0,0.48989794855663543
RegEqMoo,voting hard,0.5714285714285714,1.0,1.0,0.48989794855663543
RegEqMoo,knorau,0.5771428571428572,0.9710812443370582,0.9504640116916332,0.5391980336310278
RegEqMoo,knorae,0.56,0.7754761904761905,0.7469590643274854,0.9824094837967298
