,,accuracy,equal_opportunity,p_percent,c_variation
RegMoo,voting soft,0.7955074337427278,0.8854851771848764,0.5564100843803789,0.7127493362888386
RegMoo,voting hard,0.7953458306399482,0.9067278431850075,0.5796327527065902,0.712688086335846
RegMoo,knorau,0.7959922430510665,0.9136812326203388,0.5801363106816159,0.7113413378968747
RegMoo,knorae,0.7984809308338721,0.9187849463703083,0.5437462803897521,0.7072322022383096
RegEqMoo,voting soft,0.5718810601163542,0.909833545782091,0.7282982153397836,0.5685373966134918
RegEqMoo,voting hard,0.5718164188752424,0.9190370048180422,0.7363298955856756,0.5688997526858206
RegEqMoo,knorau,0.6988041370394311,0.888841702971746,0.6937867535994785,0.6885766832407276
RegEqMoo,knorae,0.705656108597285,0.8949017351186959,0.837906711164364,0.7641224165948606
