,,accuracy,equal_opportunity,p_percent,c_variation
RegMoo,voting soft,0.7952165481577246,0.8956246460270977,0.5277071125681861,0.7145232388682868
RegMoo,voting hard,0.7954751131221719,0.902077050555333,0.5273669227465625,0.7141750511199987
RegMoo,knorau,0.7958952811893988,0.907379382642814,0.5315339301318117,0.7133071482151122
RegMoo,knorae,0.7979314802844215,0.9668556103968057,0.6172711757033875,0.7085897328189099
RegEqMoo,voting soft,0.24143503555268261,1.0,1.0,0.3441542345934792
RegEqMoo,voting hard,0.24143503555268261,1.0,1.0,0.3441542345934792
RegEqMoo,knorau,0.704912734324499,0.9241931795079861,0.8146549673349224,0.751944613367756
RegEqMoo,knorae,0.6976405946994182,0.9180282333539872,0.7994917324725153,0.7508955561153179
