,,accuracy,equal_opportunity,p_percent,c_variation
RegMoo,voting soft,0.6019047619047619,0.9598054407713499,0.8190253919749717,0.8209387005624517
RegMoo,voting hard,0.5847619047619048,0.9467200413223141,0.8916338492288576,0.8616583371096505
RegMoo,knorau,0.5866666666666667,0.9726535423886964,0.8785582450034276,0.8543875105452936
RegMoo,knorae,0.5561904761904762,0.6705820105820106,0.6667168094140835,0.9504524671401847
RegEqMoo,voting soft,0.5714285714285714,1.0,1.0,0.4898979485566355
RegEqMoo,voting hard,0.5714285714285714,1.0,1.0,0.4898979485566355
RegEqMoo,knorau,0.5714285714285714,0.9863636363636364,0.9884033613445379,0.5033295268034862
RegEqMoo,knorae,0.5657142857142858,0.7005409427284428,0.6904853974103271,0.8369101845007456
