,,accuracy,equal_opportunity,p_percent,c_variation
RegMoo,voting soft,0.6681781376518219,0.633873975078395,0.47345974456883144,0.9517730834726245
RegMoo,voting hard,0.6707692307692308,0.6359295355532315,0.46901119187237117,0.9461747393378972
RegMoo,knorau,0.677246963562753,0.5524905394750721,0.40832985576393793,0.9209097228435639
RegMoo,knorae,0.6466396761133604,0.6578881611811254,0.5641724536273689,0.9622908537777652
RegEqMoo,voting soft,0.4469635627530365,1.0,1.0,0.45273730958591507
RegEqMoo,voting hard,0.4469635627530365,1.0,1.0,0.45273730958591507
RegEqMoo,knorau,0.5868825910931175,0.8754105279078349,0.7824334366021672,0.6221653535468267
RegEqMoo,knorae,0.5975708502024292,0.7660057420047564,0.7158701442271773,0.8936472490517371
